,id,123call,2appCat.social,123calltime,2appCat.entertainment,2sms,123appCat.travel,2appCat.travel,3appCat.entertainment,3circumplex.valence,3mood,1appCat.other,1appCat.office,2mood,3sms,2appCat.finance,2smstime,123appCat.communication,1appCat.unknown,123appCat.entertainment,weekday_0,target,123activity,2appCat.weather,1appCat.social,3calltime,3appCat.other,2circumplex.valence,1appCat.weather,123appCat.utilities,3smstime,1circumplex.valence,1appCat.utilities,1appCat.communication,1appCat.travel,123circumplex.valence,123appCat.other,123appCat.builtin,3screen,1mood,1appCat.builtin,3appCat.unknown,2appCat.game,3circumplex.arousal,weekday_4,2calltime,3appCat.social,123appCat.weather,123circumplex.arousal,2appCat.utilities,123mood,2activity,3appCat.finance,3call,2appCat.office,weekday_3,123appCat.finance,1screen,1calltime,weekday_1,1appCat.entertainment,3activity,3appCat.utilities,2appCat.builtin,1appCat.finance,1smstime,1activity,3appCat.office,2call,1call,2appCat.communication,weekday_5,2appCat.other,1sms,weekday_6,2circumplex.arousal,2appCat.unknown,2screen,123sms,1circumplex.arousal,123appCat.social,123appCat.game,3appCat.travel,1appCat.game,123appCat.office,123screen,3appCat.game,weekday_2,123appCat.unknown,3appCat.builtin,123smstime,3appCat.communication,3appCat.weather
2126,AS14.26,2,121.27548555586957,701.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,0.2,6.6,11.193556146179402,66.48949999999999,6.4,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,8.0,0.1015586787689163,13.536483399470901,123.49920352181941,953.3225806451613,11.193375958188152,0.0,13.679621078431373,25.268666666666675,991.1333333333333,0.2,24.987727272727273,34.59710112877877,66.53559615384616,0.13333333333333333,11.457538837860724,25.31689261641989,99.89442768642236,6.2,27.001183548964825,74.0416066919192,,-0.2,1,701.0,122.01927844082428,12.677843991906242,0.06666666666666668,24.987727272727273,6.4,0.10232629606076633,,0,66.48949999999999,0,,101.84012542347682,966.7096774193549,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,2,0,34.673040797284294,0,11.277100340136053,0,0,0.6,80.48538911845729,101.55643833797748,0,-0.2,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,961.7878787878788,34.17901733327003,13.429212815126052
2127,AS14.26,6,121.27548555586957,828.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,0.0,6.4,11.193556146179402,66.48949999999999,6.2,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,8.2,0.1015586787689163,13.536483399470901,123.49920352181941,701.0,11.193375958188152,0.2,13.679621078431373,25.268666666666675,991.1333333333333,1.0,24.987727272727273,34.59710112877877,66.53559615384616,0.4,11.457538837860724,25.31689261641989,99.89442768642236,8.0,27.001183548964825,74.0416066919192,,0.6,0,956.125,122.01927844082428,12.677843991906242,0.2,24.987727272727273,6.866666666666666,0.10232629606076633,,2,66.48949999999999,0,,101.84012542347682,891.0,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,0,4,34.673040797284294,1,11.277100340136053,0,0,-0.2,80.48538911845729,101.55643833797748,0,0.2,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,961.7878787878788,34.17901733327003,13.429212815126052
2128,AS14.26,5,121.27548555586957,848.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,0.2,6.2,11.193556146179402,66.48949999999999,8.0,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,7.2,0.1015586787689163,13.536483399470901,123.49920352181941,953.3225806451613,11.193375958188152,1.0,13.679621078431373,25.268666666666675,991.1333333333333,1.0,24.987727272727273,34.59710112877877,66.53559615384616,0.7333333333333333,11.457538837860724,25.31689261641989,99.89442768642236,8.2,27.001183548964825,74.0416066919192,,-0.2,0,891.0,122.01927844082428,12.677843991906242,-0.06666666666666668,24.987727272727273,7.466666666666668,0.10232629606076633,,0,66.48949999999999,0,,101.84012542347682,676.0,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,4,1,34.673040797284294,0,11.277100340136053,0,1,0.2,80.48538911845729,101.55643833797748,0,-0.2,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,961.7878787878788,34.17901733327003,13.429212815126052
2129,AS14.26,5,121.27548555586957,848.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,1.0,8.0,11.193556146179402,66.48949999999999,8.2,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,1,7.0,0.1015586787689163,13.536483399470901,123.49920352181941,891.0,11.193375958188152,1.0,13.679621078431373,25.268666666666675,991.1333333333333,0.4,24.987727272727273,34.59710112877877,66.53559615384616,0.8,11.457538837860724,25.31689261641989,99.89442768642236,7.2,27.001183548964825,74.0416066919192,,0.2,0,676.0,122.01927844082428,12.677843991906242,0.0,24.987727272727273,7.8,0.10232629606076633,,4,66.48949999999999,0,,101.84012542347682,966.7096774193549,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,1,0,34.673040797284294,0,11.277100340136053,0,0,-0.2,80.48538911845729,101.55643833797748,0,0.0,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,961.7878787878788,34.17901733327003,13.429212815126052
2130,AS14.26,1,121.27548555586957,676.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,1.0,8.2,11.193556146179402,66.48949999999999,7.2,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,6.6,0.1015586787689163,13.536483399470901,123.49920352181941,676.0,11.193375958188152,0.4,13.679621078431373,25.268666666666675,991.1333333333333,0.4,24.987727272727273,34.59710112877877,66.53559615384616,0.6,11.457538837860724,25.31689261641989,99.89442768642236,7.0,27.001183548964825,74.0416066919192,,-0.2,0,956.125,122.01927844082428,12.677843991906242,0.13333333333333333,24.987727272727273,7.466666666666668,0.10232629606076633,,1,66.48949999999999,0,,101.84012542347682,966.7096774193549,1,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,0,0,34.673040797284294,0,11.277100340136053,0,0,0.0,80.48538911845729,101.55643833797748,0,0.6,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,961.7878787878788,34.17901733327003,13.429212815126052
2131,AS14.26,4,121.27548555586957,800.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,0.4,7.2,11.193556146179402,66.48949999999999,7.0,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,6.4,0.1015586787689163,13.536483399470901,123.49920352181941,953.3225806451613,11.193375958188152,0.4,13.679621078431373,25.268666666666675,991.1333333333333,-0.2,24.987727272727273,34.59710112877877,66.53559615384616,0.2,11.457538837860724,25.31689261641989,99.89442768642236,6.6,27.001183548964825,74.0416066919192,,0.0,0,956.125,122.01927844082428,12.677843991906242,0.3333333333333333,24.987727272727273,6.933333333333334,0.10232629606076633,,0,66.48949999999999,0,,101.84012542347682,800.0,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,1077.0,0.09856189737387602,66.48949999999999,0,4,34.673040797284294,0,11.277100340136053,2,0,0.6,80.48538911845729,101.55643833797748,2,0.4,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,1,87.36124897858552,28.18965608277902,1077.0,34.17901733327003,13.429212815126052
2132,AS14.26,4,121.27548555586957,800.0,82.53114630456349,2,66.4537249589491,66.53559615384616,84.77795129629631,0.4,7.0,11.193556146179402,66.48949999999999,6.6,0,,1077.0,34.436714799450954,79.52549166666667,76.74070160714285,0,6.8,0.1015586787689163,13.536483399470901,123.49920352181941,953.3225806451613,11.193375958188152,-0.2,13.679621078431373,25.268666666666675,991.1333333333333,0.0,24.987727272727273,34.59710112877877,66.53559615384616,0.06666666666666668,11.457538837860724,25.31689261641989,99.89442768642236,6.4,27.001183548964825,74.0416066919192,,0.6,0,800.0,122.01927844082428,12.677843991906242,0.3333333333333333,24.987727272727273,6.666666666666668,0.10232629606076633,,0,66.48949999999999,1,,101.84012542347682,966.7096774193549,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,910.0,0.09856189737387602,66.48949999999999,4,0,34.673040797284294,0,11.277100340136053,2,0,0.4,80.48538911845729,101.55643833797748,4,0.0,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,993.0,34.17901733327003,13.429212815126052
2133,AS14.26,4,121.27548555586957,800.0,82.53114630456349,2,66.4537249589491,66.53559615384616,84.77795129629631,-0.2,6.6,11.193556146179402,66.48949999999999,6.4,2,,910.0,34.436714799450954,79.52549166666667,76.74070160714285,0,6.75,0.1015586787689163,13.536483399470901,123.49920352181941,800.0,11.193375958188152,0.0,13.679621078431373,25.268666666666675,1077.0,0.6,24.987727272727273,34.59710112877877,66.53559615384616,0.13333333333333333,11.457538837860724,25.31689261641989,99.89442768642236,6.8,27.001183548964825,74.0416066919192,,0.4,1,956.125,122.01927844082428,12.677843991906242,0.06666666666666668,24.987727272727273,6.6,0.10232629606076633,,4,66.48949999999999,0,,101.84012542347682,966.7096774193549,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,0,0,34.673040797284294,0,11.277100340136053,0,0,0.0,80.48538911845729,101.55643833797748,4,-0.2,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,993.0,34.17901733327003,13.429212815126052
2134,AS14.26,1,121.27548555586957,926.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,0.0,6.4,11.193556146179402,66.48949999999999,6.8,2,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,8.0,0.1015586787689163,13.536483399470901,123.49920352181941,953.3225806451613,11.193375958188152,0.6,13.679621078431373,25.268666666666675,910.0,0.25,24.987727272727273,34.59710112877877,66.53559615384616,0.2857142857142857,11.457538837860724,25.31689261641989,99.89442768642236,6.75,27.001183548964825,74.0416066919192,,0.0,0,956.125,122.01927844082428,12.677843991906242,0.14285714285714285,24.987727272727273,6.642857142857142,0.10232629606076633,,0,66.48949999999999,0,,101.84012542347682,926.0,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,988.2307692307693,0.09856189737387602,66.48949999999999,0,1,34.673040797284294,1,11.277100340136053,0,0,-0.2,80.48538911845729,101.55643833797748,2,0.75,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,910.0,34.17901733327003,13.429212815126052
2135,AS14.26,5,121.27548555586957,1022.0,82.53114630456349,0,66.4537249589491,66.53559615384616,84.77795129629631,0.6,6.8,11.193556146179402,66.48949999999999,6.75,0,,1006.2142857142857,34.436714799450954,79.52549166666667,76.74070160714285,0,6.75,0.1015586787689163,13.536483399470901,123.49920352181941,953.3225806451613,11.193375958188152,0.25,13.679621078431373,25.268666666666675,991.1333333333333,1.0,24.987727272727273,34.59710112877877,66.53559615384616,0.6428571428571429,11.457538837860724,25.31689261641989,99.89442768642236,8.0,27.001183548964825,74.0416066919192,,-0.2,0,926.0,122.01927844082428,12.677843991906242,0.5,24.987727272727273,7.2142857142857135,0.10232629606076633,,0,66.48949999999999,0,,101.84012542347682,1046.0,0,80.89688936011905,0.10398201973193409,24.987727272727273,28.785823715858616,,948.0,0.09856189737387602,66.48949999999999,1,4,34.673040797284294,0,11.277100340136053,2,1,0.75,80.48538911845729,101.55643833797748,2,1.0,112.47532436350974,,66.3784375,,66.48949999999999,100.86161751550996,,0,87.36124897858552,28.18965608277902,948.0,34.17901733327003,13.429212815126052
