id,123call,2appCat.social,123calltime,2appCat.entertainment,2sms,123appCat.travel,2appCat.travel,3appCat.entertainment,3circumplex.valence,3mood,1appCat.other,1appCat.office,2mood,3sms,2appCat.finance,2smstime,123appCat.communication,1appCat.unknown,123appCat.entertainment,weekday_0,target,123activity,2appCat.weather,1appCat.social,3calltime,3appCat.other,2circumplex.valence,1appCat.weather,123appCat.utilities,3smstime,1circumplex.valence,1appCat.utilities,1appCat.communication,1appCat.travel,123circumplex.valence,123appCat.other,123appCat.builtin,3screen,1mood,1appCat.builtin,3appCat.unknown,2appCat.game,3circumplex.arousal,weekday_4,2calltime,3appCat.social,123appCat.weather,123circumplex.arousal,2appCat.utilities,123mood,2activity,3appCat.finance,3call,2appCat.office,weekday_3,123appCat.finance,1screen,1calltime,weekday_1,1appCat.entertainment,3activity,3appCat.utilities,2appCat.builtin,1appCat.finance,1smstime,1activity,3appCat.office,2call,1call,2appCat.communication,weekday_5,2appCat.other,1sms,weekday_6,2circumplex.arousal,2appCat.unknown,2screen,123sms,1circumplex.arousal,123appCat.social,123appCat.game,3appCat.travel,1appCat.game,123appCat.office,123screen,3appCat.game,weekday_2,123appCat.unknown,3appCat.builtin,123smstime,3appCat.communication,3appCat.weather
AS14.01,5,,932.0,,0,,,,,,,,,0,,,,,,1,,,,,932.0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5,,0,,,,0,,,,,,,,,0,0,,0,,0,0,,,,0,,,,,,,,,0,,,,,
AS14.01,1,,934.0,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,,934.0,1,,,,,,,,,0,1,,0,,0,0,,,,0,,,,,,,,,0,,,,,
AS14.01,4,,892.0,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,934.0,,,,,,,,0,,0,,,878.0,0,,,,,,,,,1,3,,0,,0,0,,,,0,,,,,,,,,1,,,,,
AS14.01,11,,876.0,,0,,,,,,,,,0,,,,,,0,,,,,934.0,,,,,,,,,,,,,,,,,,,0,878.0,,,,,,,,1,,1,,,867.0,0,,,,,,846.0,,,3,7,,0,,1,0,,,,1,,,,,,,,,0,,,846.0,,
AS14.01,14,,901.0,,1,,,,,,,,,0,,846.0,,,,0,,,,,878.0,,,,,,,,,,,,,,,,,,,1,867.0,,,,,,,,3,,0,,,978.0,0,,,,,,,,,7,4,,0,,0,0,,,,1,,,,,,,,,0,,,846.0,,
AS14.01,14,,909.0,,0,,,,,,,,,1,,,,,,0,,,,,867.0,,,,,846.0,,,,,,,,,,,,,,0,978.0,,,,,,,,7,,0,,,915.0,0,,,,,,1066.0,,,4,3,,1,,1,0,,,,2,,,,,,,,,0,,,956.0,,
AS14.01,7,,951.0,,1,,,,,,,,,0,,1066.0,,,,0,,,,,978.0,,,,,,,,,,,,,,,,,,,0,915.0,,,,,,,,4,,0,,,,0,,,,,,1169.0,,,3,0,,0,,1,1,,,,2,,,,,,,,,0,,,1118.0,,
AS14.01,3,,915.0,,1,,,,,,,,,1,,1169.0,,,,1,,,,,915.0,,,,,1066.0,,,,,,,,,,,,,,0,,,,,,,,,3,,0,,,,0,,,,,,1067.0,,,0,0,,0,,3,0,,,,5,,,,,,,,,0,,,1087.0,,
AS14.01,0,,,,3,,,,,,,,,1,,1067.0,,,,0,,,,,,,,,,1169.0,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,,,1,,,,,,823.0,,,0,0,,0,,1,0,,,,5,,,,,,,,,0,,,1039.0,,
AS14.01,1,,669.0,,1,,,,,,,,,3,,823.0,,,,0,,,,,,,,,,1067.0,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,,669.0,0,,,,,,818.0,,,0,1,,0,,2,0,,,,6,,,,,,,,,1,,,943.0,,
AS14.01,2,,641.0,,2,,,,,,,,,1,,818.0,,,,0,,,,,,,,,,823.0,,,,,,,,,,,,,,0,669.0,,,,,,,,0,,1,,,614.0,0,,,,,,,,,1,1,,0,,0,0,,,,3,,,,,,,,,0,,,820.0,,
AS14.01,3,,652.0,,0,,,,,,5.6725,,,2,,,58.60078378378378,45.173,58.476,0,6.2,0.08154761904761905,,73.43009090909091,669.0,,,,10.536999999999999,818.0,,10.536999999999999,58.60078378378378,,,5.6725,5.928071428571428,,,5.928071428571428,,,,1,614.0,,,,,,,,1,,0,,252.88266669379337,674.0,0,58.476,,,,,,0.08154761904761905,,1,1,,0,,0,0,,,,2,,73.43009090909091,,,,,252.88266669379337,,0,45.173,,818.0,,
AS14.01,8,73.43009090909091,872.0,58.476,0,70.41884615384616,,,,,29.968875,57.402,,0,,,55.95443046357616,,54.33248,0,6.4,0.12984990519404707,,75.14166666666667,614.0,,,,22.136714285714284,,0.2,23.029,55.09552631578947,70.41884615384616,0.2,25.1096,12.93204961832061,,6.2,14.269172727272727,,,,0,674.0,,,0.2,10.536999999999999,6.2,0.08154761904761905,,1,,0,6.193,153.665871795426,948.0,0,53.024,,,5.928071428571428,6.193,,0.13405010398938863,,1,6,58.60078378378378,1,5.6725,0,0,,45.173,252.88266669379337,0,0.2,74.87649295774648,,,,57.402,160.75278571673795,,0,45.173,,,,
