id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
AS14.01,6.785714285714286,0.14285714285714285,0.6428571428571429,0.11859446455391613,126.92960091468387,2,2,8.682511392405063,52.5090501002004,89.89022222222222,10.584923076923078,,15.20425,18.602722222222223,95.47321794871795,23.657,29.402875,19.78577272727273,,6.4,936.0,953.0,0,0,0,0,1,0,0
AS14.01,6.666666666666667,-0.2,0.6666666666666666,0.11767694772418356,97.70639798322912,7,1,29.95052644230769,43.39043410852713,94.63781481481482,11.48225,116.51799999999999,15.20425,21.221166666666665,86.2883,56.20585714285714,,23.36868181818182,,8.0,929.0,948.0,0,0,0,0,0,1,0
AS14.01,7.133333333333334,-0.06666666666666667,0.8,0.10632648661508427,106.9277386715188,11,2,36.688509695290854,41.59698418972332,93.4906,13.1385,116.51799999999999,15.20425,23.898789473684207,46.85390243902439,51.364916666666666,,24.030733333333334,,7.5,926.0,949.0,0,0,0,0,0,0,1
AS14.01,7.285714285714286,-0.2857142857142857,0.7857142857142857,0.07453099272640876,99.26997206863747,9,1,47.80611538461538,42.85991228070176,119.10025714285715,12.738,116.51799999999999,,24.713052631578947,37.20367741935484,53.88381818181818,33.2385,26.875714285714288,,7.4,931.0,951.0,1,0,0,0,0,0,0
AS14.01,7.642857142857143,-0.07142857142857142,0.7857142857142857,0.06477904146690014,114.80311628386032,10,1,17.188387096774193,45.177942028985505,84.86251724137931,6.8758333333333335,51.176,,21.339624999999998,56.89222857142857,29.477,31.922333333333334,20.219952380952382,,6.0,936.0,950.0,0,1,0,0,0,0,0
AS14.01,6.928571428571429,-0.07142857142857142,0.42857142857142855,0.08422695086465486,98.34004106549573,7,0,10.173690170940171,38.10379640718563,64.55573134328358,14.025738095238095,71.47925000000001,30.796,18.54988,47.87158394160584,94.63168421052632,31.922333333333334,17.02748888888889,,6.5,936.0,945.0,0,0,1,0,0,0,0
AS14.01,6.642857142857143,0.15384615384615385,0.38461538461538464,0.09695511141144968,93.27639074502167,11,0,12.537434645669292,35.42146525096525,47.504977011494255,13.718983606557376,71.47925000000001,45.71725,22.17345238095238,52.51077005347594,94.63168421052632,29.29,17.82186666666667,,6.4,936.0,944.0,0,0,0,1,0,0,0
AS14.01,6.285714285714286,-0.3076923076923077,0.15384615384615385,0.08986610868646686,87.62317544256734,9,0,10.253963585434175,39.21966285714286,46.42587341772152,15.031672413793103,78.247,45.71725,19.057239130434784,49.67136752136752,108.91353333333333,,18.60319642857143,,6.2,936.0,950.0,0,0,0,0,1,0,0
AS14.01,6.357142857142857,-0.3076923076923077,0.3076923076923077,0.09261479818466345,85.0922175936493,10,1,11.870138345864662,42.00292018779343,58.90470422535211,14.727772727272727,,90.48100000000001,20.266173913043477,56.6616339869281,22.165375,,15.543690476190475,,6.8,943.0,957.0,0,0,0,0,0,1,0
AS14.01,6.466666666666667,-0.4666666666666667,0.3333333333333333,0.09831002870640414,76.53954020775471,6,1,36.13100929368029,45.05189876033058,67.79597674418605,25.41133333333333,,,15.727866666666667,51.88561111111111,26.09057142857143,,12.297714285714285,,6.5,949.0,960.0,0,0,0,0,0,0,1
