,id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
7,AS14.01,6.25,-0.25,0.75,0.0925800012367318,104.97651363230706,4,2,15.59397364132467,50.415581942665696,87.30252657671508,15.944659752110699,72.83847368421051,29.307284090909082,18.785219710078753,82.61912997596427,42.27591076553725,26.497983974358974,24.27323889910698,30.386,6.333333333333332,966.0,946.0,0,0,0,1,0,0,0
30,AS14.01,6.2,0.2,0.2,0.12984990519404707,160.75278571673798,8,0,12.93204961832061,55.95443046357615,54.332480000000004,6.193,72.83847368421051,57.402,25.1096,74.87649295774649,70.41884615384616,45.173,22.136714285714284,30.386,6.4,959.0,955.0,0,0,0,0,0,1,0
31,AS14.01,6.3,0.4,0.3333333333333333,0.17161783262659774,103.51769411704115,10,1,11.571983146067414,54.29974493927126,53.764296296296294,6.42,72.83847368421051,57.402,20.54347058823529,69.34774698795181,68.05357142857143,45.173,23.78867741935484,30.386,6.8,959.0,953.0,0,0,0,0,0,0,1
32,AS14.01,6.466666666666668,0.3333333333333333,0.5,0.1669324562346523,89.03429395114996,9,1,12.278316666666667,53.5101525974026,49.79691666666667,7.601533333333332,72.83847368421051,57.402,19.557952380952386,64.98856666666667,68.05357142857143,26.497983974358974,24.88203333333333,30.386,6.0,959.0,953.0,1,0,0,0,0,0,0
33,AS14.01,6.4,0.5333333333333333,0.42857142857142855,0.14229573803072065,65.64165258575491,13,1,7.712917112299465,50.05364010282776,89.58776923076924,7.583461538461537,72.83847368421051,3.01,12.501263157894735,62.521876712328776,76.185,26.497983974358974,54.4065,30.386,6.75,958.0,953.0,0,1,0,0,0,0,0
34,AS14.01,6.5,0.5,0.42857142857142855,0.10154223462257886,102.11447641759544,10,1,8.318459530026107,56.20113151927439,87.65561538461539,8.611642857142858,72.83847368421051,3.01,17.677777777777774,67.90939325842696,83.961,29.402875,33.20853846153846,30.386,6.6,953.0,954.0,0,0,1,0,0,0,0
35,AS14.01,6.428571428571429,0.35714285714285715,0.35714285714285715,0.09288116339206022,106.53220724339931,10,1,7.390893975903613,53.438451310861424,115.03858823529413,8.093187499999999,72.83847368421051,3.01,19.04861111111111,90.14033333333332,83.961,29.402875,33.46076923076923,30.386,7.0,948.0,954.0,0,0,0,1,0,0,0
36,AS14.01,6.7857142857142865,0.14285714285714285,0.6428571428571429,0.11859446455391613,126.92960091468387,2,2,8.682511392405063,52.5090501002004,89.89022222222222,10.584923076923078,72.83847368421051,15.20425,18.602722222222226,95.47321794871796,23.656999999999996,29.402875,19.78577272727273,30.386,6.4,936.0,953.0,0,0,0,0,1,0,0
37,AS14.01,6.666666666666668,-0.2,0.6666666666666666,0.11767694772418355,97.70639798322912,7,1,29.95052644230769,43.39043410852714,94.63781481481482,11.48225,116.518,15.20425,21.221166666666665,86.2883,56.20585714285714,26.497983974358974,23.36868181818182,30.386,8.0,929.0,948.0,0,0,0,0,0,1,0
38,AS14.01,7.133333333333334,-0.06666666666666668,0.8,0.10632648661508427,106.9277386715188,11,2,36.688509695290854,41.59698418972332,93.4906,13.1385,116.518,15.20425,23.89878947368421,46.85390243902439,51.36491666666666,26.497983974358974,24.03073333333333,30.386,7.5,926.0,949.0,0,0,0,0,0,0,1
39,AS14.01,7.2857142857142865,-0.2857142857142857,0.7857142857142857,0.07453099272640876,99.26997206863749,9,1,47.80611538461538,42.85991228070176,119.10025714285715,12.738,116.518,29.307284090909082,24.71305263157895,37.20367741935485,53.88381818181818,33.2385,26.875714285714288,30.386,7.4,931.0,951.0,1,0,0,0,0,0,0
40,AS14.01,7.642857142857142,-0.07142857142857142,0.7857142857142857,0.06477904146690014,114.80311628386032,10,1,17.188387096774193,45.17794202898551,84.86251724137931,6.8758333333333335,51.176,29.307284090909082,21.339625,56.89222857142857,29.476999999999997,31.92233333333333,20.219952380952385,30.386,6.0,936.0,950.0,0,1,0,0,0,0,0
41,AS14.01,6.928571428571429,-0.07142857142857142,0.42857142857142855,0.08422695086465486,98.34004106549573,7,0,10.173690170940171,38.103796407185634,64.55573134328358,14.025738095238097,71.47925000000002,30.796,18.549879999999998,47.87158394160584,94.63168421052632,31.92233333333333,17.02748888888889,30.386,6.5,936.0,945.0,0,0,1,0,0,0,0
42,AS14.01,6.642857142857142,0.15384615384615385,0.38461538461538464,0.09695511141144968,93.27639074502169,11,0,12.537434645669293,35.421465250965255,47.504977011494255,13.718983606557375,71.47925000000002,45.71725,22.173452380952376,52.51077005347593,94.63168421052632,29.29,17.821866666666672,30.386,6.4,936.0,944.0,0,0,0,1,0,0,0
43,AS14.01,6.2857142857142865,-0.3076923076923077,0.15384615384615385,0.08986610868646686,87.62317544256734,9,0,10.253963585434176,39.21966285714286,46.42587341772152,15.031672413793107,78.247,45.71725,19.057239130434784,49.67136752136752,108.91353333333332,26.497983974358974,18.60319642857143,30.386,6.2,936.0,950.0,0,0,0,0,1,0,0
44,AS14.01,6.357142857142858,-0.3076923076923077,0.3076923076923077,0.09261479818466344,85.0922175936493,10,1,11.870138345864664,42.00292018779343,58.904704225352106,14.727772727272727,72.83847368421051,90.481,20.26617391304348,56.6616339869281,22.165375,26.497983974358974,15.543690476190474,30.386,6.8,943.0,957.0,0,0,0,0,0,1,0
